date,turbidity,ctd
2021-08-24,1.7749048,CTD10
2021-08-26,2.8387997,CTD10
2021-09-30,3.15579,CTD10
2023-01-10,0.58994883,CTD10
2023-01-20,1.4456182,CTD10
2023-02-01,0.44815505,CTD10
2023-03-01,0.0,CTD10
2023-03-16,1.0160134,CTD10
2023-03-22,0.61786884,CTD10
2023-03-29,2.341012,CTD10
2023-06-21,0.81408995,CTD10
2023-08-17,1.0615166,CTD10
2023-08-24,0.7057162,CTD10
2023-10-05,1.0120146,CTD10
2023-10-17,1.5305581,CTD10
2023-11-08,9.373759,CTD10
2023-11-16,0.847884,CTD10
2023-11-24,1.5171349,CTD10
2023-12-07,0.5255386,CTD10
2023-12-19,1.7010583,CTD10
2023-12-27,0.4822832,CTD10
2024-01-09,1.96407,CTD10
2024-01-16,0.4593898,CTD10
2024-01-23,1.6910521,CTD10
2024-02-13,1.0168843,CTD10
2024-02-20,0.44324458,CTD10
2024-03-13,0.6982955,CTD10
2024-04-10,0.33619982,CTD10
2024-04-24,1.3482512,CTD10
2024-05-22,0.5639329,CTD10
2024-05-29,1.4064147,CTD10
2024-06-18,1.172826,CTD10
2024-06-25,0.97829175,CTD10
2024-07-03,0.8717347,CTD10
2021-08-24,0.5672275,CTD11
2021-08-26,2.3161821,CTD11
2021-09-30,1.5735459,CTD11
2023-01-10,0.1267783,CTD11
2023-01-20,1.7631236,CTD11
2023-02-01,0.028120767,CTD11
2023-03-01,1.1786994,CTD11
2023-03-16,0.6563396,CTD11
2023-03-22,0.0,CTD11
2023-03-29,1.720337,CTD11
2023-06-21,0.79418063,CTD11
2023-08-17,0.0,CTD11
2023-08-24,0.37246332,CTD11
2023-10-05,0.85680807,CTD11
2023-10-17,1.5457712,CTD11
2023-11-08,6.4270544,CTD11
2023-11-16,0.41475728,CTD11
2023-11-24,0.47571984,CTD11
2023-12-07,0.1736808,CTD11
2023-12-19,1.9561417,CTD11
2023-12-27,0.35247877,CTD11
2024-01-09,1.4498212,CTD11
2024-01-16,0.36556405,CTD11
2024-01-23,1.4784487,CTD11
2024-02-13,0.4445769,CTD11
2024-02-20,0.619033,CTD11
2024-03-13,0.30724165,CTD11
2024-04-10,0.0,CTD11
2024-04-24,0.43781784,CTD11
2024-05-22,0.3848773,CTD11
2024-05-29,0.85640144,CTD11
2024-06-18,0.6295131,CTD11
2024-06-25,0.84039307,CTD11
2024-07-03,0.9228631,CTD11
2021-08-24,1.875487,CTD12
2021-08-26,2.7183146,CTD12
2021-09-30,2.2480512,CTD12
2023-01-10,0.8059726,CTD12
2023-01-20,1.6223816,CTD12
2023-02-01,0.71091694,CTD12
2023-03-01,0.049275246,CTD12
2023-03-16,0.97908986,CTD12
2023-03-22,0.76515657,CTD12
2023-03-29,2.1593328,CTD12
2023-06-21,0.7254857,CTD12
2023-08-17,1.2953582,CTD12
2023-08-24,0.85417295,CTD12
2023-10-05,1.2603391,CTD12
2023-10-17,1.335489,CTD12
2023-11-08,8.097196,CTD12
2023-11-16,0.9548229,CTD12
2023-11-24,1.5096928,CTD12
2023-12-07,0.71974206,CTD12
2023-12-19,1.4073015,CTD12
2023-12-27,0.55332494,CTD12
2024-01-09,1.592276,CTD12
2024-01-16,0.45533326,CTD12
2024-01-23,1.7610912,CTD12
2024-02-13,0.9677309,CTD12
2024-02-20,0.44717547,CTD12
2024-03-13,0.7001645,CTD12
2024-04-10,0.5362182,CTD12
2024-04-24,1.2030052,CTD12
2024-05-22,0.54459673,CTD12
2024-05-29,1.2619092,CTD12
2024-06-18,1.0637596,CTD12
2024-06-25,0.8808549,CTD12
2024-07-03,0.78580797,CTD12
2021-08-24,1.5426854,CTD1
2021-08-26,1.8234831,CTD1
2021-09-30,0.80511814,CTD1
2023-01-10,1.2327517,CTD1
2023-01-20,0.49813712,CTD1
2023-02-01,0.7893574,CTD1
2023-03-01,0.89140934,CTD1
2023-03-16,0.5883975,CTD1
2023-03-22,0.9252706,CTD1
2023-03-29,1.4019661,CTD1
2023-06-21,0.4422347,CTD1
2023-08-17,2.615676,CTD1
2023-08-24,1.6005596,CTD1
2023-10-05,3.4731276,CTD1
2023-10-17,1.6950626,CTD1
2023-11-08,0.0,CTD1
2023-11-16,0.28212458,CTD1
2023-11-24,0.77274233,CTD1
2023-12-07,2.4896712,CTD1
2023-12-19,0.38218904,CTD1
2023-12-27,0.40264794,CTD1
2024-01-09,0.49864143,CTD1
2024-01-16,0.34208518,CTD1
2024-01-23,2.144007,CTD1
2024-02-13,1.0818243,CTD1
2024-02-20,0.3876063,CTD1
2024-03-13,0.2543751,CTD1
2024-04-10,1.3430058,CTD1
2024-04-24,0.7671712,CTD1
2024-05-22,0.4973892,CTD1
2024-05-29,0.7693282,CTD1
2024-06-18,0.5892192,CTD1
2024-06-25,0.3656212,CTD1
2024-07-03,0.42562392,CTD1
2021-08-24,2.5337834,CTD2
2021-08-26,2.4790614,CTD2
2021-09-30,1.5595785,CTD2
2023-01-10,2.272237,CTD2
2023-01-20,0.911336,CTD2
2023-02-01,1.2345624,CTD2
2023-03-01,0.07785362,CTD2
2023-03-16,0.9391741,CTD2
2023-03-22,1.6826371,CTD2
2023-03-29,2.62163,CTD2
2023-06-21,0.6052478,CTD2
2023-08-17,2.7488434,CTD2
2023-08-24,1.552461,CTD2
2023-10-05,2.4116573,CTD2
2023-10-17,1.4287766,CTD2
2023-11-08,3.063226,CTD2
2023-11-16,0.69403386,CTD2
2023-11-24,1.9743832,CTD2
2023-12-07,1.9828562,CTD2
2023-12-19,0.72559136,CTD2
2023-12-27,0.41754407,CTD2
2024-01-09,1.0925332,CTD2
2024-01-16,0.45070395,CTD2
2024-01-23,2.0703034,CTD2
2024-02-13,1.374815,CTD2
2024-02-20,0.35400927,CTD2
2024-03-13,0.7501705,CTD2
2024-04-10,1.3067999,CTD2
2024-04-24,1.8242761,CTD2
2024-05-22,0.61492974,CTD2
2024-05-29,1.1261636,CTD2
2024-06-18,1.0170715,CTD2
2024-06-25,0.58988386,CTD2
2024-07-03,0.59253204,CTD2
2021-08-24,1.8369802,CTD3
2021-08-26,2.2064774,CTD3
2021-09-30,0.994054,CTD3
2023-01-10,1.4618444,CTD3
2023-01-20,1.0861864,CTD3
2023-02-01,0.9947379,CTD3
2023-03-01,0.9909605,CTD3
2023-03-16,0.77947855,CTD3
2023-03-22,0.9713024,CTD3
2023-03-29,2.0034792,CTD3
2023-06-21,0.5277352,CTD3
2023-08-17,2.0309896,CTD3
2023-08-24,1.3591151,CTD3
2023-10-05,2.6475613,CTD3
2023-10-17,1.1986005,CTD3
2023-11-08,1.8570242,CTD3
2023-11-16,0.6171324,CTD3
2023-11-24,0.996702,CTD3
2023-12-07,1.9337933,CTD3
2023-12-19,0.7702073,CTD3
2023-12-27,0.37116954,CTD3
2024-01-09,0.7860619,CTD3
2024-01-16,0.36294952,CTD3
2024-01-23,1.9676635,CTD3
2024-02-13,1.0009233,CTD3
2024-02-20,0.42366433,CTD3
2024-03-13,0.38792706,CTD3
2024-04-10,1.0779922,CTD3
2024-04-24,0.96586114,CTD3
2024-05-22,0.49147397,CTD3
2024-05-29,0.78275573,CTD3
2024-06-18,0.6745312,CTD3
2024-06-25,0.5259834,CTD3
2024-07-03,0.5430307,CTD3
2021-08-24,0.99728996,CTD4
2021-08-26,1.960609,CTD4
2021-09-30,0.4630442,CTD4
2023-01-10,0.63918036,CTD4
2023-01-20,1.5402532,CTD4
2023-02-01,0.7287277,CTD4
2023-03-01,2.465,CTD4
2023-03-16,0.5747096,CTD4
2023-03-22,0.3800119,CTD4
2023-03-29,1.1880558,CTD4
2023-06-21,0.4537332,CTD4
2023-08-17,1.0099146,CTD4
2023-08-24,1.0381594,CTD4
2023-10-05,2.1634817,CTD4
2023-10-17,0.8717816,CTD4
2023-11-08,1.5312082,CTD4
2023-11-16,0.57388145,CTD4
2023-11-24,0.17863728,CTD4
2023-12-07,1.330623,CTD4
2023-12-19,0.9807493,CTD4
2023-12-27,0.36410046,CTD4
2024-01-09,0.596899,CTD4
2024-01-16,0.32139722,CTD4
2024-01-23,1.7944634,CTD4
2024-02-13,0.5481311,CTD4
2024-02-20,0.5399681,CTD4
2024-03-13,0.101836145,CTD4
2024-04-10,0.6985461,CTD4
2024-04-24,0.38587567,CTD4
2024-05-22,0.33220917,CTD4
2024-05-29,0.56443685,CTD4
2024-06-18,0.34548306,CTD4
2024-06-25,0.48088104,CTD4
2024-07-03,0.5130284,CTD4
2021-08-24,1.7629073,CTD6
2021-08-26,2.5126545,CTD6
2021-09-30,1.503503,CTD6
2023-01-10,0.9498576,CTD6
2023-01-20,1.7932909,CTD6
2023-02-01,0.8498228,CTD6
2023-03-01,0.70000476,CTD6
2023-03-16,0.89036465,CTD6
2023-03-22,0.74309176,CTD6
2023-03-29,1.8984567,CTD6
2023-06-21,0.6417072,CTD6
2023-08-17,1.2903141,CTD6
2023-08-24,0.9697051,CTD6
2023-10-05,1.5711362,CTD6
2023-10-17,1.1542761,CTD6
2023-11-08,5.9835763,CTD6
2023-11-16,0.91484123,CTD6
2023-11-24,1.2353928,CTD6
2023-12-07,0.950694,CTD6
2023-12-19,1.2066962,CTD6
2023-12-27,0.53202736,CTD6
2024-01-09,1.2076583,CTD6
2024-01-16,0.4240357,CTD6
2024-01-23,1.7989078,CTD6
2024-02-13,0.84745836,CTD6
2024-02-20,0.45595497,CTD6
2024-03-13,0.5787518,CTD6
2024-04-10,0.6522564,CTD6
2024-04-24,0.9857149,CTD6
2024-05-22,0.49987227,CTD6
2024-05-29,0.9968871,CTD6
2024-06-18,0.86568713,CTD6
2024-06-25,0.7523781,CTD6
2024-07-03,0.6987121,CTD6
2021-08-24,3.617344,CTD7
2021-08-26,3.187368,CTD7
2021-09-30,4.572039,CTD7
2023-01-10,2.122505,CTD7
2023-01-20,1.0316141,CTD7
2023-02-01,1.5064424,CTD7
2023-03-01,0.0,CTD7
2023-03-16,1.259859,CTD7
2023-03-22,2.9683354,CTD7
2023-03-29,4.110505,CTD7
2023-06-21,1.4003475,CTD7
2023-08-17,3.538308,CTD7
2023-08-24,1.5970995,CTD7
2023-10-05,1.5465988,CTD7
2023-10-17,1.6469234,CTD7
2023-11-08,8.624921,CTD7
2023-11-16,1.1022162,CTD7
2023-11-24,4.163798,CTD7
2023-12-07,1.3786882,CTD7
2023-12-19,1.0545728,CTD7
2023-12-27,0.5021091,CTD7
2024-01-09,2.068135,CTD7
2024-01-16,0.6593408,CTD7
2024-01-23,2.0865223,CTD7
2024-02-13,1.9330105,CTD7
2024-02-20,0.30255294,CTD7
2024-03-13,1.564266,CTD7
2024-04-10,1.379855,CTD7
2024-04-24,4.1751637,CTD7
2024-05-22,0.7881227,CTD7
2024-05-29,2.2546332,CTD7
2024-06-18,1.699363,CTD7
2024-06-25,0.85165215,CTD7
2024-07-03,0.7430552,CTD7
2021-08-24,2.6945877,CTD8
2021-08-26,2.9976301,CTD8
2021-09-30,3.206577,CTD8
2023-01-10,1.281487,CTD8
2023-01-20,1.3833394,CTD8
2023-02-01,1.0541188,CTD8
2023-03-01,0.0,CTD8
2023-03-16,1.1406938,CTD8
2023-03-22,1.7114744,CTD8
2023-03-29,2.9462461,CTD8
2023-06-21,1.0296952,CTD8
2023-08-17,2.3650572,CTD8
