fecha,profundidad_0.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.0,profundidad_-1.2000000000000002,profundidad_-1.6,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-6.0,cluster,missing_pct
2017-02-03,3.45,3.45,3.45,3.45,3.4833333333333334,3.5166666666666666,3.55,3.73,3.88,4.12,4.12,0,0.45454545454545453
2017-02-10,3.92,3.9966666666666666,4.073333333333333,4.15,4.176666666666667,4.203333333333334,4.23,4.29,4.35,4.21,4.21,0,0.45454545454545453
2017-03-02,4.1,4.12,4.14,4.16,4.17,4.180000000000001,4.19,4.17,4.18,4.03,4.03,0,0.45454545454545453
2017-03-22,2.05,2.03,2.01,1.99,1.99,1.99,1.99,2.07,1.98,2.06,2.06,1,0.45454545454545453
2017-03-30,2.03,2.0666666666666664,2.1033333333333335,2.14,2.126666666666667,2.1133333333333333,2.1,2.18,2.13,2.51,2.51,1,0.45454545454545453
2017-04-05,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.62,1.6,1.65,1.65,1,0.45454545454545453
2017-04-12,1.46,1.5133333333333334,1.5666666666666667,1.62,1.6400000000000001,1.66,1.68,1.82,1.94,1.97,1.97,1,0.45454545454545453
2017-04-18,1.16,1.16,1.16,1.16,1.1733333333333333,1.1866666666666665,1.2,1.19,1.17,1.28,1.41,1,0.45454545454545453
2017-04-25,1.72,1.76,1.8,1.84,1.7866666666666666,1.7333333333333334,1.68,1.74,1.95,1.84,1.84,1,0.45454545454545453
2017-05-10,1.2,1.2366666666666666,1.2733333333333334,1.31,1.3366666666666667,1.3633333333333333,1.39,1.3,1.66,1.53,1.53,1,0.45454545454545453
2017-05-19,1.06,1.1633333333333333,1.2666666666666668,1.37,1.4133333333333333,1.4566666666666668,1.5,1.65,1.56,1.83,1.83,1,0.45454545454545453
2017-05-24,1.03,1.05,1.07,1.09,1.1266666666666667,1.1633333333333333,1.2,1.45,1.07,1.01,1.01,1,0.45454545454545453
2017-06-02,1.06,1.0533333333333335,1.0466666666666666,1.04,1.0433333333333334,1.0466666666666666,1.05,1.18,1.23,2.11,2.11,1,0.45454545454545453
2017-06-06,1.12,1.1033333333333335,1.0866666666666667,1.07,1.1066666666666667,1.1433333333333333,1.18,1.18,1.35,1.22,1.22,1,0.45454545454545453
2017-06-13,0.89,0.9333333333333333,0.9766666666666667,1.02,0.9500000000000001,0.88,0.81,0.72,0.81,0.86,0.86,1,0.45454545454545453
2017-06-21,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.79,0.79,0.76,0.76,1,0.45454545454545453
2017-07-05,1.68,1.7333333333333334,1.7866666666666666,1.84,1.86,1.88,1.9,1.86,1.93,1.96,1.96,1,0.45454545454545453
2017-07-12,1.58,1.6133333333333333,1.6466666666666667,1.68,1.66,1.6400000000000001,1.62,1.53,1.55,1.56,1.56,1,0.45454545454545453
2017-07-19,1.24,1.2633333333333334,1.2866666666666666,1.31,1.3033333333333335,1.2966666666666666,1.29,1.32,1.31,1.74,1.74,1,0.45454545454545453
2017-07-26,1.39,1.4233333333333333,1.4566666666666666,1.49,1.4866666666666666,1.4833333333333334,1.48,1.48,1.5,1.44,1.44,1,0.45454545454545453
2017-08-08,1.86,1.9433333333333334,2.0266666666666664,2.11,2.1,2.09,2.08,2.06,2.15,2.11,2.11,1,0.45454545454545453
2017-08-16,4.18,4.163333333333333,4.1466666666666665,4.13,4.1433333333333335,4.156666666666666,4.17,4.06,4.12,4.07,4.07,0,0.45454545454545453
2017-08-23,4.56,4.413333333333333,4.266666666666667,4.12,4.126666666666667,4.133333333333333,4.14,4.14,4.07,4.15,4.15,0,0.45454545454545453
2017-08-30,5.91,5.886666666666667,5.863333333333333,5.84,5.85,5.86,5.87,5.69,5.68,5.71,5.71,0,0.45454545454545453
2017-09-06,4.39,4.58,4.77,4.96,4.956666666666667,4.953333333333333,4.95,4.83,5.42,5.6,5.6,0,0.45454545454545453
2017-09-11,3.05,3.06,3.07,3.08,3.1133333333333333,3.146666666666667,3.18,3.36,3.85,4.11,4.11,0,0.45454545454545453
2017-09-20,1.52,1.4266666666666667,1.3333333333333333,1.24,1.2466666666666666,1.2533333333333334,1.26,1.36,1.32,1.31,1.31,1,0.45454545454545453
2017-09-27,4.57,4.543333333333334,4.516666666666667,4.49,4.523333333333333,4.556666666666667,4.59,4.58,4.79,4.83,4.83,0,0.45454545454545453
2017-10-04,4.42,4.406666666666666,4.3933333333333335,4.38,4.376666666666667,4.373333333333333,4.37,4.36,4.47,4.63,4.63,0,0.45454545454545453
2017-10-11,3.69,3.723333333333333,3.756666666666667,3.79,3.79,3.79,3.79,3.65,3.66,3.63,3.63,0,0.45454545454545453
2017-10-17,3.6,3.6133333333333333,3.626666666666667,3.64,3.6133333333333333,3.586666666666667,3.56,3.6,3.66,3.48,3.48,0,0.45454545454545453
2017-10-25,2.89,2.83,2.77,2.71,2.71,2.71,2.71,2.67,2.68,2.62,2.62,1,0.45454545454545453
2017-11-03,3.37,3.316666666666667,3.263333333333333,3.21,3.1933333333333334,3.1766666666666667,3.16,3.19,3.22,3.2,3.2,0,0.45454545454545453
2017-11-08,3.51,3.4966666666666666,3.4833333333333334,3.47,3.506666666666667,3.5433333333333334,3.58,3.67,3.96,3.85,3.85,0,0.45454545454545453
2017-11-15,3.79,3.8066666666666666,3.8233333333333333,3.84,3.86,3.88,3.9,3.93,4.05,4.07,4.07,0,0.45454545454545453
2017-11-22,3.52,3.5366666666666666,3.5533333333333332,3.57,3.6,3.63,3.66,3.79,3.76,4.09,4.09,0,0.45454545454545453
2017-11-28,3.76,3.763333333333333,3.7666666666666666,3.77,3.77,3.77,3.77,3.72,3.81,3.71,3.71,0,0.45454545454545453
2017-12-05,3.53,3.643333333333333,3.756666666666667,3.87,3.85,3.83,3.81,3.78,3.95,3.85,3.85,0,0.45454545454545453
2017-12-13,4.99,5.140000000000001,5.29,5.44,5.526666666666667,5.613333333333333,5.7,5.74,6.05,5.71,5.71,0,0.45454545454545453
2017-12-18,3.55,3.57,3.59,3.61,3.6,3.59,3.58,3.52,3.53,3.4,3.4,0,0.45454545454545453
2017-12-26,3.09,3.083333333333333,3.0766666666666667,3.07,3.0666666666666664,3.0633333333333335,3.06,3.06,3.16,3.11,3.11,0,0.45454545454545453
2018-01-02,3.02,2.993333333333333,2.966666666666667,2.94,2.94,2.94,2.94,2.97,2.94,2.88,2.88,0,0.45454545454545453
2018-01-09,2.82,2.85,2.88,2.91,2.8200000000000003,2.73,2.64,2.48,2.45,2.41,2.41,1,0.45454545454545453
2018-01-17,0.53,0.96,1.3900000000000001,1.82,1.9000000000000001,1.98,2.06,2.05,2.03,2.11,2.11,1,0.45454545454545453
2018-01-24,2.24,2.2,2.16,2.12,2.1166666666666667,2.1133333333333333,2.11,2.14,2.08,2.09,2.09,1,0.45454545454545453
2018-01-31,2.43,2.3866666666666667,2.3433333333333333,2.3,2.2966666666666664,2.2933333333333334,2.29,2.28,2.21,2.11,2.11,1,0.45454545454545453
