dataset,patch_px,diameter_m,model,n_train,n_test,n_features,n_iters,train_mae,train_rmse,train_r2,train_pearson_r,train_bias,test_mae,test_rmse,test_r2,test_pearson_r,test_bias,oof_mae,oof_rmse,oof_r2,oof_pearson_r,oof_bias,cv_mae,cv_mae_std,cv_rmse,cv_r2,best_iter_mean,best_iter_std,best_params
base,16,48,GBR,311,48,32,801,0.4736,1.1578,0.1948,0.5332,-0.2113,0.6806,0.8314,-0.2285,-0.1085,0.0437,0.7386,1.3333,-0.0677,0.0573,-0.2549,0.7387,0.3425,1.1033,-0.2432,800.0,0.0,"{""learning_rate"": 0.027049506272617856, ""max_leaf_nodes"": 114, ""min_samples_leaf"": 36, ""l2_regularization"": 3.927897050823689e-05, ""max_features"": 0.6244979415690067, ""loss"": ""absolute_error""}"
base,16,48,CatBoost,311,48,32,10,0.4606,1.113,0.2559,0.654,-0.2528,0.6174,0.7872,-0.1015,0.0036,-0.0191,0.6943,1.3001,-0.0152,0.1595,-0.2601,0.6942,0.3294,1.0532,-0.074,7.8,14.6,"{""depth"": 10, ""learning_rate"": 0.16208344025204338, ""l2_leaf_reg"": 9.878428236713699, ""min_data_in_leaf"": 1, ""bagging_temperature"": 0.1621975663726392}"
base,32,96,GBR,311,48,32,801,0.4863,1.1616,0.1894,0.5269,-0.2087,0.6741,0.8471,-0.2754,-0.2114,0.0045,0.748,1.3467,-0.0894,0.0259,-0.2683,0.7481,0.3428,1.1143,-0.2703,800.0,0.0,"{""learning_rate"": 0.012271954091355517, ""max_leaf_nodes"": 118, ""min_samples_leaf"": 36, ""l2_regularization"": 6.613640011494016e-06, ""max_features"": 0.5589642576744256, ""loss"": ""absolute_error""}"
base,32,96,CatBoost,311,48,32,16,0.6648,1.3068,-0.0258,0.2151,-0.2919,0.5911,0.7638,-0.0369,-0.0586,-0.08,0.7019,1.3195,-0.0458,0.0534,-0.2836,0.7018,0.3305,1.0748,-0.1267,14.6,21.8,"{""depth"": 4, ""learning_rate"": 0.04431608164569597, ""l2_leaf_reg"": 8.44185358802359, ""min_data_in_leaf"": 6, ""bagging_temperature"": 0.9931266257475114}"
base,64,192,GBR,311,48,32,801,0.4892,1.1714,0.1757,0.5148,-0.2243,0.6539,0.8229,-0.2036,-0.1338,0.0095,0.7427,1.3455,-0.0874,0.0185,-0.2733,0.7427,0.3445,1.1092,-0.245,800.0,0.0,"{""learning_rate"": 0.010605424619894678, ""max_leaf_nodes"": 68, ""min_samples_leaf"": 37, ""l2_regularization"": 2.5310912828962135e-06, ""max_features"": 0.8779521809764843, ""loss"": ""absolute_error""}"
base,64,192,CatBoost,311,48,32,16,0.5579,1.1865,0.1543,0.5001,-0.2294,0.6357,0.8085,-0.1618,-0.0884,0.028,0.7023,1.3201,-0.0467,0.073,-0.2588,0.7021,0.3339,1.0723,-0.1212,14.8,26.2,"{""depth"": 5, ""learning_rate"": 0.19775786601992265, ""l2_leaf_reg"": 17.00416928280159, ""min_data_in_leaf"": 4, ""bagging_temperature"": 1.9590826765310192}"
base,128,384,GBR,284,41,32,801,0.4913,1.1209,0.1632,0.4794,-0.2205,0.6245,0.8167,-0.403,-0.1726,0.1122,0.7552,1.2725,-0.0785,0.0608,-0.2099,0.7582,0.2606,1.1153,-0.3902,800.0,0.0,"{""learning_rate"": 0.01044114255501696, ""max_leaf_nodes"": 19, ""min_samples_leaf"": 38, ""l2_regularization"": 1.2444337536987495e-06, ""max_features"": 0.9990138628298035, ""loss"": ""absolute_error""}"
base,128,384,CatBoost,284,41,32,10,0.4888,1.0294,0.2941,0.6488,-0.2335,0.6073,0.8014,-0.351,0.0159,0.0787,0.6809,1.2418,-0.0272,0.1399,-0.261,0.6842,0.2916,1.038,-0.1061,5.6,6.6,"{""depth"": 8, ""learning_rate"": 0.17828194290875382, ""l2_leaf_reg"": 10.5255682964755, ""min_data_in_leaf"": 16, ""bagging_temperature"": 1.8746604143787513}"
base,256,768,GBR,191,44,32,801,0.5499,1.2348,0.1384,0.487,-0.2451,0.5285,0.7285,-0.0211,0.137,0.0217,0.8132,1.4208,-0.1407,-0.0895,-0.2608,0.8174,0.3243,1.189,-0.6334,800.0,0.0,"{""learning_rate"": 0.01044114255501696, ""max_leaf_nodes"": 19, ""min_samples_leaf"": 38, ""l2_regularization"": 7.111034582100503, ""max_features"": 0.9990138628298035, ""loss"": ""absolute_error""}"
base,256,768,CatBoost,191,44,32,11,0.4336,0.9783,0.4592,0.7971,-0.2042,0.4789,0.6647,0.1499,0.3959,0.0541,0.7298,1.38,-0.0761,0.0077,-0.2851,0.7358,0.3138,1.1245,-0.3044,10.0,17.0,"{""depth"": 8, ""learning_rate"": 0.2041655644093832, ""l2_leaf_reg"": 2.4331554540207323, ""min_data_in_leaf"": 11, ""bagging_temperature"": 0.21221054514638163}"
log1p,16,48,GBR,313,46,32,801,0.0965,0.2061,0.7058,0.8709,-0.0133,0.2898,0.4036,-0.3372,-0.0527,0.0728,0.3145,0.4117,-0.1746,0.0476,-0.0316,0.3152,0.0584,0.3969,-0.1903,800.0,0.0,"{""learning_rate"": 0.02922810493607341, ""max_leaf_nodes"": 102, ""min_samples_leaf"": 15, ""l2_regularization"": 0.19790931934409503, ""max_features"": 0.6509339242464015, ""loss"": ""absolute_error""}"
log1p,16,48,CatBoost,313,46,32,10,0.2159,0.3074,0.3454,0.7772,-0.055,0.2589,0.3681,-0.1122,-0.0793,0.0337,0.2865,0.3818,-0.01,0.119,-0.0579,0.2872,0.0529,0.368,-0.019,3.2,5.0,"{""depth"": 10, ""learning_rate"": 0.08834516758120443, ""l2_leaf_reg"": 7.749465616663451, ""min_data_in_leaf"": 13, ""bagging_temperature"": 1.0097149542049846}"
log1p,32,96,GBR,313,46,32,801,0.0861,0.198,0.7282,0.8784,-0.0116,0.2869,0.3883,-0.2378,0.0396,0.0607,0.3137,0.4128,-0.1807,0.0364,-0.0332,0.3144,0.0566,0.3981,-0.1965,800.0,0.0,"{""learning_rate"": 0.03141012489254227, ""max_leaf_nodes"": 113, ""min_samples_leaf"": 12, ""l2_regularization"": 1.1188496627650749e-05, ""max_features"": 0.5095403107251402, ""loss"": ""absolute_error""}"
log1p,32,96,CatBoost,313,46,32,50,0.2373,0.3411,0.1939,0.5296,-0.0501,0.258,0.3694,-0.1204,-0.0453,0.0551,0.2849,0.3826,-0.0143,0.1077,-0.0531,0.2856,0.0509,0.3684,-0.0182,49.0,56.3,"{""depth"": 5, ""learning_rate"": 0.03797503873693109, ""l2_leaf_reg"": 15.41379664748192, ""min_data_in_leaf"": 14, ""bagging_temperature"": 1.0407927696496981}"
log1p,64,192,GBR,313,46,32,801,0.1397,0.2551,0.5492,0.7777,-0.0303,0.2676,0.3681,-0.1127,0.1348,0.0509,0.3179,0.419,-0.2164,-0.0136,-0.0424,0.3185,0.0543,0.4037,-0.2312,800.0,0.0,"{""learning_rate"": 0.020425986114165476, ""max_leaf_nodes"": 125, ""min_samples_leaf"": 24, ""l2_regularization"": 0.00010819810627813986, ""max_features"": 0.5202223070910675, ""loss"": ""absolute_error""}"
log1p,64,192,CatBoost,313,46,32,30,0.2234,0.323,0.2773,0.628,-0.0477,0.2532,0.3646,-0.0916,0.029,0.0612,0.2834,0.3821,-0.0119,0.1136,-0.0555,0.2841,0.0507,0.3679,-0.0163,28.6,48.3,"{""depth"": 6, ""learning_rate"": 0.06430292484756209, ""l2_leaf_reg"": 13.450206715618792, ""min_data_in_leaf"": 17, ""bagging_temperature"": 0.5410900422459477}"
log1p,128,384,GBR,281,44,32,801,0.1188,0.2355,0.6198,0.8211,-0.0091,0.2974,0.3629,-0.3663,-0.0919,0.0152,0.3119,0.4132,-0.1708,0.027,-0.0274,0.3122,0.0859,0.3917,-0.2659,800.0,0.0,"{""learning_rate"": 0.01093752187827548, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 12, ""l2_regularization"": 5.528994638218027, ""max_features"": 0.5282511939049271, ""loss"": ""absolute_error""}"
